run_label,layer,alpha,direction_type,observed_best_of_n,mean_tokens_until_success_or_budget,diversity_score,collapse_score
layer12_correctness_direction_alpha0p0,12.0,0.0,correctness_direction,0.7,112.65,0.43670108103336885,0.5632989189666311
layer12_correctness_direction_alpha0p5,12.0,0.5,correctness_direction,0.7,112.55,0.4338385834993385,0.5661614165006614
layer12_correctness_direction_alpha1p0,12.0,1.0,correctness_direction,0.7,110.95,0.4183429295314465,0.5816570704685535
layer12_negative_correctness_direction_alpha0p0,12.0,0.0,negative_correctness_direction,0.7,112.65,0.43670108103336885,0.5632989189666311
layer12_negative_correctness_direction_alpha0p5,12.0,0.5,negative_correctness_direction,0.7,112.5,0.4374761761049741,0.5625238238950259
layer12_negative_correctness_direction_alpha1p0,12.0,1.0,negative_correctness_direction,0.65,112.35,0.41359818003807247,0.5864018199619275
layer12_random_direction_alpha0p0,12.0,0.0,random_direction,0.7,112.65,0.43670108103336885,0.5632989189666311
layer12_random_direction_alpha0p5,12.0,0.5,random_direction,0.65,112.25,0.4083671042483671,0.5916328957516329
layer12_random_direction_alpha1p0,12.0,1.0,random_direction,0.65,112.25,0.4083671042483671,0.5916328957516329
layer16_correctness_direction_alpha0p0,16.0,0.0,correctness_direction,0.7,112.65,0.43670108103336885,0.5632989189666311
layer16_correctness_direction_alpha0p5,16.0,0.5,correctness_direction,0.7,110.55,0.4178029286159387,0.5821970713840613
layer16_correctness_direction_alpha1p0,16.0,1.0,correctness_direction,0.7,110.65,0.4180416236251837,0.5819583763748163
layer16_negative_correctness_direction_alpha0p0,16.0,0.0,negative_correctness_direction,0.7,112.65,0.43670108103336885,0.5632989189666311
layer16_negative_correctness_direction_alpha0p5,16.0,0.5,negative_correctness_direction,0.7,112.65,0.4390696592890439,0.560930340710956
layer16_negative_correctness_direction_alpha1p0,16.0,1.0,negative_correctness_direction,0.65,111.65,0.41279302705900645,0.5872069729409936
layer16_random_direction_alpha0p0,16.0,0.0,random_direction,0.7,112.65,0.43670108103336885,0.5632989189666311
layer16_random_direction_alpha0p5,16.0,0.5,random_direction,0.65,112.25,0.4083671042483671,0.5916328957516329
layer16_random_direction_alpha1p0,16.0,1.0,random_direction,0.65,112.7,0.4092903431666654,0.5907096568333345
layer8_correctness_direction_alpha0p0,8.0,0.0,correctness_direction,0.7,112.65,0.43670108103336885,0.5632989189666311
layer8_correctness_direction_alpha0p5,8.0,0.5,correctness_direction,0.7,112.35,0.4334903909954574,0.5665096090045426
layer8_correctness_direction_alpha1p0,8.0,1.0,correctness_direction,0.7,106.95,0.46554832949911473,0.5344516705008853
layer8_negative_correctness_direction_alpha0p0,8.0,0.0,negative_correctness_direction,0.7,112.65,0.43670108103336885,0.5632989189666311
layer8_negative_correctness_direction_alpha0p5,8.0,0.5,negative_correctness_direction,0.7,112.5,0.4346577067817609,0.565342293218239
layer8_negative_correctness_direction_alpha1p0,8.0,1.0,negative_correctness_direction,0.75,98.95,0.4199135048419323,0.5800864951580678
layer8_random_direction_alpha0p0,8.0,0.0,random_direction,0.7,112.65,0.43670108103336885,0.5632989189666311
layer8_random_direction_alpha0p5,8.0,0.5,random_direction,0.7,112.55,0.4338385834993385,0.5661614165006614
layer8_random_direction_alpha1p0,8.0,1.0,random_direction,0.75,110.2,0.43100132684779274,0.5689986731522072
